Designator,Mid X,Mid Y,Rotation,Layer
C1,113.476864,-105.426854,0.0,bottom
C10,110.925345,-55.0,180.0,bottom
C11,122.079206,-54.658149,180.0,top
C12,121.529806,-76.144158,180.0,top
C2,89.5,-101.5,180.0,top
C3,89.5,-101.5,180.0,bottom
C4,90.5,-77.5,0.0,bottom
C5,90.522749,-79.673282,0.0,bottom
C6,90.546829,-81.575629,0.0,bottom
C7,92.473257,-59.445788,0.0,bottom
C8,92.5,-57.5,0.0,bottom
C9,110.925345,-53.0,0.0,bottom
C_ACS1,104.850022,-57.5,90.0,bottom
C_ACS2,104.850022,-60.725,90.0,bottom
C_FILT1,110.0,-59.5,180.0,bottom
C_ISO_A1,109.5,-68.0,90.0,bottom
C_ISO_B1,111.0,-68.0,270.0,bottom
C_ISO_C1,109.5,-77.0,90.0,bottom
C_ISO_D1,111.0,-77.0,270.0,bottom
C_ISO_E1,109.5,-86.0,90.0,bottom
C_ISO_F1,111.0,-86.0,270.0,bottom
C_TMP1,104.863246,-52.714254,90.0,bottom
C_VCC_A1,110.0,-61.317866,180.0,bottom
C_VCC_A2,110.0,-63.385732,180.0,bottom
C_VCC_B1,118.0,-65.875,0.0,bottom
C_VCC_B2,118.0,-86.983026,0.0,bottom
C_VM_A1,118.0,-62.0,180.0,bottom
C_VM_A2,118.0,-83.216051,180.0,bottom
C_VM_B1,118.0,-69.5,180.0,bottom
C_VM_B2,118.0,-90.5,180.0,bottom
D1,126.0,-101.0,90.0,top
D2,86.0,-96.0,0.0,bottom
D3,79.694184,-67.381953,90.0,top
D4,126.0,-64.5,270.0,bottom
D5,126.0,-73.0,90.0,bottom
D6,126.0,-83.0,90.0,bottom
D7,126.0,-92.5,90.0,bottom
D8,79.5,-58.56,90.0,top
D9,131.5,-55.06,90.0,top
F1,135.0,-65.5,90.0,bottom
F2,135.0,-72.5,90.0,bottom
F3,135.0,-79.5,270.0,bottom
F4,135.0,-86.5,90.0,bottom
J1,134.571898,-94.65,180.0,top
J2,79.658888,-94.769931,270.0,top
J3,135.303352,-76.218518,90.0,top
J4,79.5,-80.5,0.0,top
R1,86.52703,-94.0,180.0,top
R10,114.0,-65.5,90.0,bottom
R2,83.011608,-72.520822,0.0,top
R3,83.011608,-73.742998,0.0,top
R4,86.52703,-95.0,180.0,top
R5,88.5,-60.0,0.0,bottom
R6,118.0,-67.6875,0.0,bottom
R7,118.0,-64.0625,180.0,bottom
R8,118.0,-88.741513,0.0,bottom
R9,118.0,-85.224538,180.0,bottom
R_BOOT1,100.965135,-77.509708,0.0,bottom
R_LED1,80.0,-66.0,180.0,bottom
R_LED2,80.0,-57.5,180.0,bottom
R_LED3,130.5,-54.0,0.0,bottom
SW1,85.456551,-79.401712,90.0,top
SW2,102.613499,-79.401712,90.0,top
U1,107.055,-100.4085,180.0,top
U10,105.171651,-56.95118,90.0,top
U11,110.0,-61.365,90.0,top
U2,95.696663,-80.702787,0.0,bottom
U3,94.0,-65.5,0.0,top
U4,110.0,-68.0,270.0,top
U5,110.0,-77.06625,270.0,top
U6,110.0,-86.1325,270.0,top
U7,110.925345,-53.957427,0.0,top
U8,119.5,-65.54595,90.0,top
U9,119.5,-86.675,90.0,top
