C1:1
C10:1
C11:1
C12:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
C_ACS1:1
C_ACS2:1
C_FILT1:1
C_ISO_A1:1
C_ISO_B1:1
C_ISO_C1:1
C_ISO_D1:1
C_ISO_E1:1
C_ISO_F1:1
C_TMP1:1
C_VCC_A1:1
C_VCC_A2:1
C_VCC_B1:1
C_VCC_B2:1
C_VM_A1:1
C_VM_A2:1
C_VM_B1:1
C_VM_B2:1
D1:1
D2:1
D3:1
D4:1
D5:1
D6:1
D7:1
D8:1
D9:1
F1:1
F2:1
F3:1
F4:1
H1:1
H2:1
H3:1
H4:1
J1:1
J2:1
J3:1
J4:1
R1:1
R10:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
R_BOOT1:1
R_LED1:1
R_LED2:1
R_LED3:1
SW1:1
SW2:1
TP1:1
TP2:1
TP3:1
TP4:1
TP5:1
TP7:1
TP8:1
U1:1
U10:1
U11:1
U2:1
U3:1
U4:1
U5:1
U6:1
U7:1
U8:1
U9:1
